String Identifier	String Description (Comments)	English_US	English_UK	Portuguese	Spanish	Catalan	French	Italian	Dutch	German	Czech	Polish	Russian	Ukrainian	Croatian	Greek	Turkish	Hebrew	Arabic	Persian	Simplified Chinese	Korean	Japanese
DisclaimerText		The content of this game does not have any scientific basis and does not intend in any way to suggest how to act in a real emergency.	The content of this game does not have any scientific basis and does not intend in any way to suggest how to act in a real emergency.	O conteúdo desse jogo não possui base científica e não tem a intenção de motivar ações no caso de uma emergência real.	El contenido del juego no tiene ninguna base científica y no pretende en algún modo sugerir como comportarse frente a una emergencia real	El contingut del joc no té ninguna base científica i no pretén de cap manera suggerir com comportar-se envers una emergència real	Le contenu de ce jeu n'a aucune base scientifique et ne cherche aucunement à suggérer comment agir face à une véritable urgence.	Il contenuto di questo gioco non ha alcuna base scientifica e non intende in alcun modo suggerire come comportarsi in un'emergenza reale.	De inhoud van dit spel heeft geen wetenschappelijke basis en is op geen enkele manier bedoeld om te suggereren hoe te handelen in een echte noodsituatie	Der Inhalt dieses Spiels beruht auf keiner wissenschaftlichen Grundlage und beabsichtigt in keiner Weise vorzuschlagen, wie in einem tatsächlichen Notfall zu handeln ist.	Obsah hry nemá žádný vědecký základ a nesnaží se žádným způsobem popsat, jak se chovat v případě reálné nouze.	Treść niniejszej gry nie ma podstaw naukowych i w żaden sposób nie pokazuje, jak należy postępować w prawdziwych sytuacjach zagrożenia zdrowia.	Содержание этой игры не имеет научной базы и никоим образом не намерено подсказывать, как действовать в реальной чрезвычайной ситуации.	Зміст гри не має наукового підґрунтя і жодним чином не покликаний вказувати, як поводитися в умовах справжньої надзвичайної ситуації	Sadržaj ove igre nema nikakvu znanstvenu osnovu i ni na koji način ne predlaže kako postupati u stvarnim kriznim situacijama.	Τα περιεχόμενα αυτού του παιχνιδιού δεν έχουν καμία επιστημονική βάση και δεν αποσκοπούν σε ουδεμία περίπτωση στο να συμβουλέψουν την σωστή δράση σε περίπτωση έκτακτης ανάγκης.	Bu oyunun içeriği herhangi bir bilimsel temele sahip değildir ve gerçek bir acil durumda nasıl davranılacağını önerme niyetinde değildir.	לתוכן של משחק זה אין בסיס מדעי ואינו מתכוון בשום דרך להציע כיצד לנהוג במצב חירום אמיתי	إن محتوى هذه اللعبة ليس مبني على أي قاعدة علمية ولا يملي بأي شكل طريقة التصرف في حالة طوارئ حقيقية.	محتوای این بازی هیچ اساس علمی ندارد و به هیچ وجه قصد ندارد نحوه عمل در شرایط اضطراری واقعی را پیشنهاد دهد.	该游戏的内容没有任何科学依据，也不试图以任何方式建议在现实危机中的处理方式	이 게임은 과학적으로 검증받지 않은 내용을 담고 있습니다. 게임의 내용을 참고해 현실의 비상사태에 대응하지 마세요.	このゲームのコンテンツに科学的根拠はなく、実際の緊急事態での行動方法を示唆することは一切ありません。
CreditsTitle		Developed altruistically by Video Games Without Borders in cooperation with Margarito Estudio, Cicchi Consulting and Asociación Oleaje.	Developed altruistically by Video Games Without Borders in cooperation with Margarito Estudio, Cicchi Consulting and Asociación Oleaje.	Desenvolvido artisticamente por Vídeo Games Without Borders em cooperação com Margarito Estudio, Cicchi Consulting e Asociación Oleaje.	Desarrollado de forma altruista por Videojuegos Sin Fronteras en colaboración con Margarito Estudio, Cicchi Consulting y Asociación Oleaje	Desenvolupat de manera altruista per Videojocs Sense Fronteres en col·laboracií amb Margarito Estudio, Cicchi Consulting i Associación Oleajo	Développé de façon bénévole par Jeux Vidéos Sans Frontières, en collaboration avec Margarito Estudio, Cicchi Consulting et Asociaciôn Oleaje.	Sviluppato volontariamente da Videogiochi Senza Frontiere in collaborazione con Margarito Estudio, Cicchi Consulting e Asociación Oleaje.	Altruistisch ontwikkeld door Video Games Without Border in samenwerking met Margarito Estudio, Cicchi Consulting en Asociacion Oleaje	Es wurde uneigennützig von Video Games Without Borders in Zusammenarbeit mit Margarito Estudio, Cicchi Consulting und Asociación Oleaje entwickelt.	V duchu altruismu vytvořeno organizací Videohry bez hranic ve spolupráci s Margarito Estudio, Cicchi Consulting a Asociación Oleaje	Opracowana altruistycznie przez Video Games Without Borders przy współpracy z Margarito Estudio, Cicchi Consulting i Asociación Oleaje.	Разработано альтруистично «Видеоигры без границ» в сотрудничестве с Margarito Estudio, Cicchi Consulting и Asociación Oleaje.	Гру створено на альтруїстичних засадах неприбутковою організацією Videojuegos Sin Fronteras у співпраці з Margarito Estudio, Cicchi Consulting і Asociación Oleaje	Igru je neprofitno razvila organizacija Video Games Without Borders (Asociación Videojuegos Sin Fronteras) u suradnji sa studijima Margarito Estudio, Cicchi Consulting i udruženjem Asociación Oleaje.	Αναπτύχθηκε φιλανθρωπικά απο την Video Games Without Borders σε συνεργασία με την Margarito Estudio, Cicchi Consulting και Asociación Oleaje.	Margarito Estudio, Cicchi Consulting ve Asociación Oleaje işbirliğiyle Video Games Without Borders tarafından fedakarca geliştirildi.	שפותח באופן אלטרואיסטי על ידי Video Games Without Borders בשיתוף פעולה עם Margarito Estudio, Cicchi Consulting ו-Asociacion Oleaje	تم التطوير بـإيثار من قبل ألعاب الفيديو بلا حدود (Video Games Without Borders) بالتعاون مع إستوديو مارغريتو (Margarito Estudio)، شركة شيشي الاستشارية (Cicchi Consulting)  و جمعية أولياخي (Asociació Oleaje)	این گیم توسط سازمان بازی های ویدئویی بدون مرز با همکاری Margarito Estudio, Cicchi Consulting وAsociación Oleaje ساخته شده است.	由视频游戏无国界，马格利托声画工作室，奇契科技咨询以及欧里亚非盈利教育组织联合志愿开发	Video Games Without Borders가 Margarito Estudio, Cicchi Consulting, Asociación Oleaje와 함께 비영리 목적으로 개발했습니다.	Margarito Estudio、Cicchi Consulting、AsociaciónOleajeと協力して、Video Games Without Borders が利他的に開発しました。
Loading		loading...	loading...	carregando...	cargando...	carregant...	chargement...	Caricamento...	bezig met laden	laden … 	načítám...	ładowanie...	Загрузка...	завантаження...	učitavanje...	φόρτωση	yükleniyor...	בטעינה ...	جار التحميل ...	درحال اجرا...	加载中…	불러오는 중...	ローディング中...
Present		present	present	apresenta	presentan	presenten	présentent	presentano	present	präsentieren	představují	prezentują	представляют	представляють	predstavljamo	παρουσιάζουν	sunar	מציגים	يقدمون	تقدیم میگردد	敬献	소개합니다	present
InCollaborationWith		in cooperation with	in cooperation with	em cooperação com	en colaboración con	en col·laboració amb	en collaboration avec	in collaborazione con	in samenwerking met	in Zusammenarbeit mit	ve spolupráci s	przy współpracy z	в сотрудничестве с	у співпраці з	u suradnji sa	σε συνεργασία με	katkılarıyla	בשיתוף פעולה עם	بالتعاون مع	به همکاری	联合制作	공동 개발:	in cooperation with
PressSecretary_Name		Mr. Goodnews	Mr. Goodnews	Sr. Boas Novas	Don Megusta	Senyor M'agrada	Mr. J'aime	Signor Buonanuova	Mr Goodnews	Herr Informant	Pan Dobrovinš	pan Wizerunek	Г-н Добраявесть	Пан Любитель	Gospodin Dobrovijestić	Κύριος Καλονέης	Bay Müjde	מר. חדשות-טובות	السيد بشير	آقای خوش خبر	好消息先生	소식통 실장	ニンキアゲ丸
Treasurer_Name		Professor Nickels	Professor Nickels	Professora Careira	Profesora Calderilla	Professora Moneda	Professeure Pachère	Ragioniera Spiccioli	Proffesor Nickels	Professor Nickel	Profesorka Prašulíková	pani Dziana	Учительница Мелочь	Професорка Копійка	Profesorica Kovanica	Καθηγήτρια Κονδύλη	Profesör Elibol	פרופסור תשלולים	الأستاذة فراطة	پروفسور زیرک	财神教授	바가지 교수	ゼニタメ子先生
LabScientist_Name		Director Antibody	Director Antibody	Diretora Anticorpo	Directora Anticuerpos	Directora Anticossos	Directrice Anticorps	Professoressa Anticorpo	Director Antibody	Direktor Antikörper	Ředitelka Protilátková	prof. Antygen	Директор Антитела	Директорка Антитіла	Ravnateljica Antitijelić	Διευθυντής Άντι Σωματάς	Yönetici Antikor	מנהל נוגדן	المديرة مناعة	مدیرایمن	抗体主任	원인균 박사	メンエキ部長
HospitalDirector_Name		Doctor Takeabreath	Doctor Takeabreath	Doutor Inspiração	Doctor Tomeaire	Doctor Agafa-aire	Docteur Respifort	Dottor Granrespiro	Doctor Takeabreath	Doktor Atemfrei	Doktor Vzdech	dr Wdech	Доктор Вздохните	Лікар Глибокийподих	Doktor Dubokodišić	Δόκτωρ Μακροανάσιος	Doktor Derinnefes	רופא נשימה-עמוקה	الدكتور نسيم	داکتر نفس	深呼吸医生	주사기 원장	ドクター・ヤマイナオスケ
Commander_Name		Agent Logarithm	Agent Logarithm	Agente Logaritmo	Agente Logaritmo	Agent Logaritme	Agent Logarithme	Generale Logaritmo	Agent Logarrithm	Agent Logarithmus	Agent Logaritmo	agent Logarytm	Агент Логарифм	Агент Логарифм	Agent Logaritam	Πράκτωρ Λογάριθμος	Ajan Logaritma	סוכן  לוגריתם	الوكيل أسِيس	نماینده سخت کوش	学霸专家	초비상 요원	キキサッチ隊長
PressSecretary_Presentation_Text		Hello! I'm Mr. Goodnews, your PR. I take care of what citizens think about you.%n% Be careful, if your popularity falls down to a 0%, you'll get fired!	Hello! I'm Mr. Goodnews, your PR. I take care of what citizens think about you.%n% Be careful, if your popularity falls down to a 0%, you'll get fired!	Olá! Sou o sr. Boas Novas, seu assessor de relações públicas. Eu cuido da opinião pública sobre você.%nTome cuidado, se sua popularidade chegar em 0%, você será demitido!	Hola, me llamo Don Megusta y soy tu Asesor de Comunicación. Me ocupo de lo que los ciudadanos piensan de ti.%n% ¡Ten cuidado, si tu popularidad cae a 0%, te echarán!	Hola! Em dic Senyor M'agrada i soc el teu assessor de Comunicació. M'ocupo del què els ciutadans pensen sobre tu.%n% Vés amb compte, si la teva popularitat decreix a 0%, et faran fora!	Bonjour, je m'appelle Monsieur J'aime et je suis votre conseilleur en communication. Je m'occupe de ce que les citoyens pensent de vous.%n% Faites attention, si votre cote de popularité tombe à 0%, vous serez viré!	Ciao! Sono il signor Buonanuova, il tuo addetto alle pubbliche relazioni. Mi occupo di quello che pensano di te i cittadini.%n% Attento, se la tua popolarità scende allo 0%, sarai licenziato!	Hallo, ik ben Mr Goodnews, je PR. Ik let op wat burgers van je denken. %n% Wees voorzichtig, als je populariteit daalt tot 0% wordt je ontslagen	Hallo! Ich bin Herr Informant, dein Pressesprecher. Ich kümmere mich darum, was die Bürger über dich denken.%n% Sei vorsichtig, wenn deine Popularität auf 0 % sinkt, wirst du gefeuert!	Dobrej! Říkají mi Pan Dobrovinš a dělám ti tiskového mluvčího. Starám se o to, co si o tobě myslí občané.%n% Dávej pozor! Pokud tvá popularita klesne k 0 %, vyhodí tě!	Witam! Nazywam się pan Wizerunek, specjalista ds. PR. Dbam o zdanie opinii publicznej. %n% Uważaj, jeśli twoja popularność spadnie do 0%, czeka cię dymisja!	Привет! Меня зовут Добраявесть и я твой PR-советник. Я отвечаю за то, что граждане думают о тебе. Будь осторожен, если твоя популярность упадет до 0%, тебя уволят!	Привіт, мене звати пан Любитель і я твій радник з питань зв’язків з громадськістю. Я дбаю про те, що громадяни думають про тебе.%n% Будь обережним! Якщо твоя популярність впаде до 0% - тебе звільнять!	Bok! Ja sam Gospodin Dobrovijestić, tvoj PR. Brinem se o tvojoj popularnosti u javnosti.%n% Pazi, ako ti popularnost padne na 0% dobit ćeš otkaz!	Γειά σου! Είμαι ο κύριος Καλονέης, ο υπεύθυνος δημόσιων σχέσεων. Φροντίζω για το πώς σε βλέπουν οι πολίτες.%n% Προσοχή, αν η δημοτικότητά σου πέσει στο 0%, θα χάσεις την θέση!	Merhaba! Ben Bay Müjde, sizin halkla ilişkiler uzmanınızım. Vatandaşların sizin hakkınızda ne düşündükleriyle ilgileniyorum.%n% Dikkat edin, eğer popülerliğiniz %0'a düşerse, kovulursunuz!	שלום, אני מר. חדשות-טובות, את המנהל יחסי הציבור שלך. אני דואג למה שהאזרחים חושבים עליך. %n%  תיזהר, אם הפופולריות שלך תיפול ל -0%, תיפוטר	مرحباً! أنا السيد بشير ، رئيس العلاقات العامة الخاص بك. أنا أهتم بما يفكر فيه المواطنون عنك. %n%  كن حذراً ، إذا انخفضت شعبيتك إلى 0% ، سيتم طردك!	سلام! من آقای خوش خبر مسئول روابط عمومی شما بوده و مراقب آنچه که مردم در باره شما فکر میکنند هستم. %n%  مراقب باشید اگردرصد محبوبیت شما به صفر برسد شما اخراج خواهی شد.	大家好！我是好消息先生，您的公关主任。我会负责您在岛民心中的形象管理。%n%请注意，如果您的人气指数降到0％，你就失业了！	안녕하세요! 소식통 실장입니다. 시장님의 평판을 담당하죠.%n% 주의하세요. 평판이 0%까지 떨어지면 탄핵당하실 겁니다!	やあ、君のPR担当のニンキアゲ丸だ。君についての住民の意見を担当するぜ。%n% 気を付けてくれよ、もし君の人気が0％まで落ちれば、解雇されるからな！
